produk_id,sku,nama_produk,kategori,harga,stok,supplier,aktif
29,SKU00029,Produk Simulasi 29,Minuman,8973,493,Global Retail,Y
30,SKU00030,Produk Simulasi 30,Kesehatan,9110,10,Nusantara Supply,Y
31,SKU00031,Produk Simulasi 31,Hobi,9247,27,Cipta Grosir,Y
32,SKU00032,Produk Simulasi 32,Elektronik,9384,44,Sinar Distribusi,Y
33,SKU00033,Produk Simulasi 33,Rumah Tangga,9521,61,Mitra Dagang,Y
34,SKU00034,Produk Simulasi 34,Fashion,9658,78,Global Retail,Y
35,SKU00035,Produk Simulasi 35,ATK,9795,95,Nusantara Supply,Y
36,SKU00036,Produk Simulasi 36,Makanan,9932,112,Cipta Grosir,Y
37,SKU00037,Produk Simulasi 37,Minuman,10069,129,Sinar Distribusi,Y
38,SKU00038,Produk Simulasi 38,Kesehatan,10206,146,Mitra Dagang,Y
39,SKU00039,Produk Simulasi 39,Hobi,10343,163,Global Retail,N
40,SKU00040,Produk Simulasi 40,Elektronik,10480,180,Nusantara Supply,Y
41,SKU00041,Produk Simulasi 41,Rumah Tangga,10617,197,Cipta Grosir,Y
42,SKU00042,Produk Simulasi 42,Fashion,10754,214,Sinar Distribusi,Y
43,SKU00043,Produk Simulasi 43,ATK,10891,231,Mitra Dagang,Y
44,SKU00044,Produk Simulasi 44,Makanan,11028,248,Global Retail,Y
45,SKU00045,Produk Simulasi 45,Minuman,11165,265,Nusantara Supply,Y
46,SKU00046,Produk Simulasi 46,Kesehatan,11302,282,Cipta Grosir,Y
47,SKU00047,Produk Simulasi 47,Hobi,11439,299,Sinar Distribusi,Y
48,SKU00048,Produk Simulasi 48,Elektronik,11576,316,Mitra Dagang,Y
49,SKU00049,Produk Simulasi 49,Rumah Tangga,11713,333,Global Retail,Y
50,SKU00050,Produk Simulasi 50,Fashion,11850,350,Nusantara Supply,Y
51,SKU00051,Produk Simulasi 51,ATK,11987,367,Cipta Grosir,Y
52,SKU00052,Produk Simulasi 52,Makanan,12124,384,Sinar Distribusi,N
53,SKU00053,Produk Simulasi 53,Minuman,12261,401,Mitra Dagang,Y
54,SKU00054,Produk Simulasi 54,Kesehatan,12398,418,Global Retail,Y
55,SKU00055,Produk Simulasi 55,Hobi,12535,435,Nusantara Supply,Y
56,SKU00056,Produk Simulasi 56,Elektronik,12672,452,Cipta Grosir,Y
57,SKU00057,Produk Simulasi 57,Rumah Tangga,12809,469,Sinar Distribusi,Y
58,SKU00058,Produk Simulasi 58,Fashion,12946,486,Mitra Dagang,Y
59,SKU00059,Produk Simulasi 59,ATK,13083,3,Global Retail,Y
60,SKU00060,Produk Simulasi 60,Makanan,13220,20,Nusantara Supply,Y
61,SKU00061,Produk Simulasi 61,Minuman,13357,37,Cipta Grosir,Y
62,SKU00062,Produk Simulasi 62,Kesehatan,13494,54,Sinar Distribusi,Y
63,SKU00063,Produk Simulasi 63,Hobi,13631,71,Mitra Dagang,Y
64,SKU00064,Produk Simulasi 64,Elektronik,13768,88,Global Retail,Y
65,SKU00065,Produk Simulasi 65,Rumah Tangga,13905,105,Nusantara Supply,N
66,SKU00066,Produk Simulasi 66,Fashion,14042,122,Cipta Grosir,Y
67,SKU00067,Produk Simulasi 67,ATK,14179,139,Sinar Distribusi,Y
68,SKU00068,Produk Simulasi 68,Makanan,14316,156,Mitra Dagang,Y
69,SKU00069,Produk Simulasi 69,Minuman,14453,173,Global Retail,Y
70,SKU00070,Produk Simulasi 70,Kesehatan,14590,190,Nusantara Supply,Y
71,SKU00071,Produk Simulasi 71,Hobi,14727,207,Cipta Grosir,Y
72,SKU00072,Produk Simulasi 72,Elektronik,14864,224,Sinar Distribusi,Y
73,SKU00073,Produk Simulasi 73,Rumah Tangga,15001,241,Mitra Dagang,Y
74,SKU00074,Produk Simulasi 74,Fashion,15138,258,Global Retail,Y
75,SKU00075,Produk Simulasi 75,ATK,15275,275,Nusantara Supply,Y
76,SKU00076,Produk Simulasi 76,Makanan,15412,292,Cipta Grosir,Y
77,SKU00077,Produk Simulasi 77,Minuman,15549,309,Sinar Distribusi,Y
78,SKU00078,Produk Simulasi 78,Kesehatan,15686,326,Mitra Dagang,N
79,SKU00079,Produk Simulasi 79,Hobi,15823,343,Global Retail,Y
80,SKU00080,Produk Simulasi 80,Elektronik,15960,360,Nusantara Supply,Y
81,SKU00081,Produk Simulasi 81,Rumah Tangga,16097,377,Cipta Grosir,Y
82,SKU00082,Produk Simulasi 82,Fashion,16234,394,Sinar Distribusi,Y
83,SKU00083,Produk Simulasi 83,ATK,16371,411,Mitra Dagang,Y
84,SKU00084,Produk Simulasi 84,Makanan,16508,428,Global Retail,Y
85,SKU00085,Produk Simulasi 85,Minuman,16645,445,Nusantara Supply,Y
86,SKU00086,Produk Simulasi 86,Kesehatan,16782,462,Cipta Grosir,Y
87,SKU00087,Produk Simulasi 87,Hobi,16919,479,Sinar Distribusi,Y
88,SKU00088,Produk Simulasi 88,Elektronik,17056,496,Mitra Dagang,Y
89,SKU00089,Produk Simulasi 89,Rumah Tangga,17193,13,Global Retail,Y
90,SKU00090,Produk Simulasi 90,Fashion,17330,30,Nusantara Supply,Y
91,SKU00091,Produk Simulasi 91,ATK,17467,47,Cipta Grosir,N
92,SKU00092,Produk Simulasi 92,Makanan,17604,64,Sinar Distribusi,Y
93,SKU00093,Produk Simulasi 93,Minuman,17741,81,Mitra Dagang,Y
94,SKU00094,Produk Simulasi 94,Kesehatan,17878,98,Global Retail,Y
95,SKU00095,Produk Simulasi 95,Hobi,18015,115,Nusantara Supply,Y
96,SKU00096,Produk Simulasi 96,Elektronik,18152,132,Cipta Grosir,Y
97,SKU00097,Produk Simulasi 97,Rumah Tangga,18289,149,Sinar Distribusi,Y
98,SKU00098,Produk Simulasi 98,Fashion,18426,166,Mitra Dagang,Y
99,SKU00099,Produk Simulasi 99,ATK,18563,183,Global Retail,Y
100,SKU00100,Produk Simulasi 100,Makanan,18700,200,Nusantara Supply,Y
101,SKU00101,Produk Simulasi 101,Minuman,18837,217,Cipta Grosir,Y
102,SKU00102,Produk Simulasi 102,Kesehatan,18974,234,Sinar Distribusi,Y
103,SKU00103,Produk Simulasi 103,Hobi,19111,251,Mitra Dagang,Y
104,SKU00104,Produk Simulasi 104,Elektronik,19248,268,Global Retail,N
105,SKU00105,Produk Simulasi 105,Rumah Tangga,19385,285,Nusantara Supply,Y
106,SKU00106,Produk Simulasi 106,Fashion,19522,302,Cipta Grosir,Y
107,SKU00107,Produk Simulasi 107,ATK,19659,319,Sinar Distribusi,Y
108,SKU00108,Produk Simulasi 108,Makanan,19796,336,Mitra Dagang,Y
109,SKU00109,Produk Simulasi 109,Minuman,19933,353,Global Retail,Y
110,SKU00110,Produk Simulasi 110,Kesehatan,20070,370,Nusantara Supply,Y
111,SKU00111,Produk Simulasi 111,Hobi,20207,387,Cipta Grosir,Y
112,SKU00112,Produk Simulasi 112,Elektronik,20344,404,Sinar Distribusi,Y
113,SKU00113,Produk Simulasi 113,Rumah Tangga,20481,421,Mitra Dagang,Y
114,SKU00114,Produk Simulasi 114,Fashion,20618,438,Global Retail,Y
115,SKU00115,Produk Simulasi 115,ATK,20755,455,Nusantara Supply,Y
116,SKU00116,Produk Simulasi 116,Makanan,20892,472,Cipta Grosir,Y
117,SKU00117,Produk Simulasi 117,Minuman,21029,489,Sinar Distribusi,N
118,SKU00118,Produk Simulasi 118,Kesehatan,21166,6,Mitra Dagang,Y
119,SKU00119,Produk Simulasi 119,Hobi,21303,23,Global Retail,Y
120,SKU00120,Produk Simulasi 120,Elektronik,21440,40,Nusantara Supply,Y
121,SKU00121,Produk Simulasi 121,Rumah Tangga,21577,57,Cipta Grosir,Y
122,SKU00122,Produk Simulasi 122,Fashion,21714,74,Sinar Distribusi,Y
123,SKU00123,Produk Simulasi 123,ATK,21851,91,Mitra Dagang,Y
124,SKU00124,Produk Simulasi 124,Makanan,21988,108,Global Retail,Y
125,SKU00125,Produk Simulasi 125,Minuman,22125,125,Nusantara Supply,Y
126,SKU00126,Produk Simulasi 126,Kesehatan,22262,142,Cipta Grosir,Y
127,SKU00127,Produk Simulasi 127,Hobi,22399,159,Sinar Distribusi,Y
128,SKU00128,Produk Simulasi 128,Elektronik,22536,176,Mitra Dagang,Y
129,SKU00129,Produk Simulasi 129,Rumah Tangga,22673,193,Global Retail,Y
130,SKU00130,Produk Simulasi 130,Fashion,22810,210,Nusantara Supply,N
131,SKU00131,Produk Simulasi 131,ATK,22947,227,Cipta Grosir,Y
132,SKU00132,Produk Simulasi 132,Makanan,23084,244,Sinar Distribusi,Y
133,SKU00133,Produk Simulasi 133,Minuman,23221,261,Mitra Dagang,Y
134,SKU00134,Produk Simulasi 134,Kesehatan,23358,278,Global Retail,Y
135,SKU00135,Produk Simulasi 135,Hobi,23495,295,Nusantara Supply,Y
136,SKU00136,Produk Simulasi 136,Elektronik,23632,312,Cipta Grosir,Y
137,SKU00137,Produk Simulasi 137,Rumah Tangga,23769,329,Sinar Distribusi,Y
138,SKU00138,Produk Simulasi 138,Fashion,23906,346,Mitra Dagang,Y
139,SKU00139,Produk Simulasi 139,ATK,24043,363,Global Retail,Y
140,SKU00140,Produk Simulasi 140,Makanan,24180,380,Nusantara Supply,Y
141,SKU00141,Produk Simulasi 141,Minuman,24317,397,Cipta Grosir,Y
142,SKU00142,Produk Simulasi 142,Kesehatan,24454,414,Sinar Distribusi,Y
143,SKU00143,Produk Simulasi 143,Hobi,24591,431,Mitra Dagang,N
144,SKU00144,Produk Simulasi 144,Elektronik,24728,448,Global Retail,Y
145,SKU00145,Produk Simulasi 145,Rumah Tangga,24865,465,Nusantara Supply,Y
146,SKU00146,Produk Simulasi 146,Fashion,25002,482,Cipta Grosir,Y
147,SKU00147,Produk Simulasi 147,ATK,25139,499,Sinar Distribusi,Y
148,SKU00148,Produk Simulasi 148,Makanan,25276,16,Mitra Dagang,Y
149,SKU00149,Produk Simulasi 149,Minuman,25413,33,Global Retail,Y
150,SKU00150,Produk Simulasi 150,Kesehatan,25550,50,Nusantara Supply,Y
151,SKU00151,Produk Simulasi 151,Hobi,25687,67,Cipta Grosir,Y
152,SKU00152,Produk Simulasi 152,Elektronik,25824,84,Sinar Distribusi,Y
153,SKU00153,Produk Simulasi 153,Rumah Tangga,25961,101,Mitra Dagang,Y
154,SKU00154,Produk Simulasi 154,Fashion,26098,118,Global Retail,Y
155,SKU00155,Produk Simulasi 155,ATK,26235,135,Nusantara Supply,Y
156,SKU00156,Produk Simulasi 156,Makanan,26372,152,Cipta Grosir,N
157,SKU00157,Produk Simulasi 157,Minuman,26509,169,Sinar Distribusi,Y
158,SKU00158,Produk Simulasi 158,Kesehatan,26646,186,Mitra Dagang,Y
159,SKU00159,Produk Simulasi 159,Hobi,26783,203,Global Retail,Y
160,SKU00160,Produk Simulasi 160,Elektronik,26920,220,Nusantara Supply,Y
161,SKU00161,Produk Simulasi 161,Rumah Tangga,27057,237,Cipta Grosir,Y
162,SKU00162,Produk Simulasi 162,Fashion,27194,254,Sinar Distribusi,Y
163,SKU00163,Produk Simulasi 163,ATK,27331,271,Mitra Dagang,Y
164,SKU00164,Produk Simulasi 164,Makanan,27468,288,Global Retail,Y
165,SKU00165,Produk Simulasi 165,Minuman,27605,305,Nusantara Supply,Y
166,SKU00166,Produk Simulasi 166,Kesehatan,27742,322,Cipta Grosir,Y
167,SKU00167,Produk Simulasi 167,Hobi,27879,339,Sinar Distribusi,Y
168,SKU00168,Produk Simulasi 168,Elektronik,28016,356,Mitra Dagang,Y
169,SKU00169,Produk Simulasi 169,Rumah Tangga,28153,373,Global Retail,N
170,SKU00170,Produk Simulasi 170,Fashion,28290,390,Nusantara Supply,Y
171,SKU00171,Produk Simulasi 171,ATK,28427,407,Cipta Grosir,Y
172,SKU00172,Produk Simulasi 172,Makanan,28564,424,Sinar Distribusi,Y
173,SKU00173,Produk Simulasi 173,Minuman,28701,441,Mitra Dagang,Y
174,SKU00174,Produk Simulasi 174,Kesehatan,28838,458,Global Retail,Y
175,SKU00175,Produk Simulasi 175,Hobi,28975,475,Nusantara Supply,Y
176,SKU00176,Produk Simulasi 176,Elektronik,29112,492,Cipta Grosir,Y
177,SKU00177,Produk Simulasi 177,Rumah Tangga,29249,9,Sinar Distribusi,Y
178,SKU00178,Produk Simulasi 178,Fashion,29386,26,Mitra Dagang,Y
179,SKU00179,Produk Simulasi 179,ATK,29523,43,Global Retail,Y
180,SKU00180,Produk Simulasi 180,Makanan,29660,60,Nusantara Supply,Y
181,SKU00181,Produk Simulasi 181,Minuman,29797,77,Cipta Grosir,Y
182,SKU00182,Produk Simulasi 182,Kesehatan,29934,94,Sinar Distribusi,N
183,SKU00183,Produk Simulasi 183,Hobi,30071,111,Mitra Dagang,Y
184,SKU00184,Produk Simulasi 184,Elektronik,30208,128,Global Retail,Y
185,SKU00185,Produk Simulasi 185,Rumah Tangga,30345,145,Nusantara Supply,Y
186,SKU00186,Produk Simulasi 186,Fashion,30482,162,Cipta Grosir,Y
187,SKU00187,Produk Simulasi 187,ATK,30619,179,Sinar Distribusi,Y
188,SKU00188,Produk Simulasi 188,Makanan,30756,196,Mitra Dagang,Y
189,SKU00189,Produk Simulasi 189,Minuman,30893,213,Global Retail,Y
190,SKU00190,Produk Simulasi 190,Kesehatan,31030,230,Nusantara Supply,Y
191,SKU00191,Produk Simulasi 191,Hobi,31167,247,Cipta Grosir,Y
192,SKU00192,Produk Simulasi 192,Elektronik,31304,264,Sinar Distribusi,Y
193,SKU00193,Produk Simulasi 193,Rumah Tangga,31441,281,Mitra Dagang,Y
194,SKU00194,Produk Simulasi 194,Fashion,31578,298,Global Retail,Y
195,SKU00195,Produk Simulasi 195,ATK,31715,315,Nusantara Supply,N
196,SKU00196,Produk Simulasi 196,Makanan,31852,332,Cipta Grosir,Y
197,SKU00197,Produk Simulasi 197,Minuman,31989,349,Sinar Distribusi,Y
198,SKU00198,Produk Simulasi 198,Kesehatan,32126,366,Mitra Dagang,Y
199,SKU00199,Produk Simulasi 199,Hobi,32263,383,Global Retail,Y
200,SKU00200,Produk Simulasi 200,Elektronik,32400,400,Nusantara Supply,Y
201,SKU00201,Produk Simulasi 201,Rumah Tangga,32537,417,Cipta Grosir,Y
202,SKU00202,Produk Simulasi 202,Fashion,32674,434,Sinar Distribusi,Y
203,SKU00203,Produk Simulasi 203,ATK,32811,451,Mitra Dagang,Y
204,SKU00204,Produk Simulasi 204,Makanan,32948,468,Global Retail,Y
205,SKU00205,Produk Simulasi 205,Minuman,33085,485,Nusantara Supply,Y
206,SKU00206,Produk Simulasi 206,Kesehatan,33222,2,Cipta Grosir,Y
207,SKU00207,Produk Simulasi 207,Hobi,33359,19,Sinar Distribusi,Y
208,SKU00208,Produk Simulasi 208,Elektronik,33496,36,Mitra Dagang,N
209,SKU00209,Produk Simulasi 209,Rumah Tangga,33633,53,Global Retail,Y
210,SKU00210,Produk Simulasi 210,Fashion,33770,70,Nusantara Supply,Y
211,SKU00211,Produk Simulasi 211,ATK,33907,87,Cipta Grosir,Y
212,SKU00212,Produk Simulasi 212,Makanan,34044,104,Sinar Distribusi,Y
213,SKU00213,Produk Simulasi 213,Minuman,34181,121,Mitra Dagang,Y
214,SKU00214,Produk Simulasi 214,Kesehatan,34318,138,Global Retail,Y
215,SKU00215,Produk Simulasi 215,Hobi,34455,155,Nusantara Supply,Y
216,SKU00216,Produk Simulasi 216,Elektronik,34592,172,Cipta Grosir,Y
217,SKU00217,Produk Simulasi 217,Rumah Tangga,34729,189,Sinar Distribusi,Y
218,SKU00218,Produk Simulasi 218,Fashion,34866,206,Mitra Dagang,Y
219,SKU00219,Produk Simulasi 219,ATK,35003,223,Global Retail,Y
220,SKU00220,Produk Simulasi 220,Makanan,35140,240,Nusantara Supply,Y
221,SKU00221,Produk Simulasi 221,Minuman,35277,257,Cipta Grosir,N
222,SKU00222,Produk Simulasi 222,Kesehatan,35414,274,Sinar Distribusi,Y
223,SKU00223,Produk Simulasi 223,Hobi,35551,291,Mitra Dagang,Y
224,SKU00224,Produk Simulasi 224,Elektronik,35688,308,Global Retail,Y
225,SKU00225,Produk Simulasi 225,Rumah Tangga,35825,325,Nusantara Supply,Y
226,SKU00226,Produk Simulasi 226,Fashion,35962,342,Cipta Grosir,Y
227,SKU00227,Produk Simulasi 227,ATK,36099,359,Sinar Distribusi,Y
228,SKU00228,Produk Simulasi 228,Makanan,36236,376,Mitra Dagang,Y
229,SKU00229,Produk Simulasi 229,Minuman,36373,393,Global Retail,Y
230,SKU00230,Produk Simulasi 230,Kesehatan,36510,410,Nusantara Supply,Y
231,SKU00231,Produk Simulasi 231,Hobi,36647,427,Cipta Grosir,Y
232,SKU00232,Produk Simulasi 232,Elektronik,36784,444,Sinar Distribusi,Y
233,SKU00233,Produk Simulasi 233,Rumah Tangga,36921,461,Mitra Dagang,Y
234,SKU00234,Produk Simulasi 234,Fashion,37058,478,Global Retail,N
235,SKU00235,Produk Simulasi 235,ATK,37195,495,Nusantara Supply,Y
236,SKU00236,Produk Simulasi 236,Makanan,37332,12,Cipta Grosir,Y
237,SKU00237,Produk Simulasi 237,Minuman,37469,29,Sinar Distribusi,Y
238,SKU00238,Produk Simulasi 238,Kesehatan,37606,46,Mitra Dagang,Y
239,SKU00239,Produk Simulasi 239,Hobi,37743,63,Global Retail,Y
240,SKU00240,Produk Simulasi 240,Elektronik,37880,80,Nusantara Supply,Y
241,SKU00241,Produk Simulasi 241,Rumah Tangga,38017,97,Cipta Grosir,Y
242,SKU00242,Produk Simulasi 242,Fashion,38154,114,Sinar Distribusi,Y
243,SKU00243,Produk Simulasi 243,ATK,38291,131,Mitra Dagang,Y
244,SKU00244,Produk Simulasi 244,Makanan,38428,148,Global Retail,Y
245,SKU00245,Produk Simulasi 245,Minuman,38565,165,Nusantara Supply,Y
246,SKU00246,Produk Simulasi 246,Kesehatan,38702,182,Cipta Grosir,Y
247,SKU00247,Produk Simulasi 247,Hobi,38839,199,Sinar Distribusi,N
248,SKU00248,Produk Simulasi 248,Elektronik,38976,216,Mitra Dagang,Y
249,SKU00249,Produk Simulasi 249,Rumah Tangga,39113,233,Global Retail,Y
250,SKU00250,Produk Simulasi 250,Fashion,39250,250,Nusantara Supply,Y
251,SKU00251,Produk Simulasi 251,ATK,39387,267,Cipta Grosir,Y
252,SKU00252,Produk Simulasi 252,Makanan,39524,284,Sinar Distribusi,Y
253,SKU00253,Produk Simulasi 253,Minuman,39661,301,Mitra Dagang,Y
254,SKU00254,Produk Simulasi 254,Kesehatan,39798,318,Global Retail,Y
255,SKU00255,Produk Simulasi 255,Hobi,39935,335,Nusantara Supply,Y
256,SKU00256,Produk Simulasi 256,Elektronik,40072,352,Cipta Grosir,Y
257,SKU00257,Produk Simulasi 257,Rumah Tangga,40209,369,Sinar Distribusi,Y
258,SKU00258,Produk Simulasi 258,Fashion,40346,386,Mitra Dagang,Y
259,SKU00259,Produk Simulasi 259,ATK,40483,403,Global Retail,Y
260,SKU00260,Produk Simulasi 260,Makanan,40620,420,Nusantara Supply,N
261,SKU00261,Produk Simulasi 261,Minuman,40757,437,Cipta Grosir,Y
262,SKU00262,Produk Simulasi 262,Kesehatan,40894,454,Sinar Distribusi,Y
263,SKU00263,Produk Simulasi 263,Hobi,41031,471,Mitra Dagang,Y
264,SKU00264,Produk Simulasi 264,Elektronik,41168,488,Global Retail,Y
265,SKU00265,Produk Simulasi 265,Rumah Tangga,41305,5,Nusantara Supply,Y
266,SKU00266,Produk Simulasi 266,Fashion,41442,22,Cipta Grosir,Y
267,SKU00267,Produk Simulasi 267,ATK,41579,39,Sinar Distribusi,Y
268,SKU00268,Produk Simulasi 268,Makanan,41716,56,Mitra Dagang,Y
269,SKU00269,Produk Simulasi 269,Minuman,41853,73,Global Retail,Y
270,SKU00270,Produk Simulasi 270,Kesehatan,41990,90,Nusantara Supply,Y
271,SKU00271,Produk Simulasi 271,Hobi,42127,107,Cipta Grosir,Y
272,SKU00272,Produk Simulasi 272,Elektronik,42264,124,Sinar Distribusi,Y
273,SKU00273,Produk Simulasi 273,Rumah Tangga,42401,141,Mitra Dagang,N
274,SKU00274,Produk Simulasi 274,Fashion,42538,158,Global Retail,Y
275,SKU00275,Produk Simulasi 275,ATK,42675,175,Nusantara Supply,Y
276,SKU00276,Produk Simulasi 276,Makanan,42812,192,Cipta Grosir,Y
277,SKU00277,Produk Simulasi 277,Minuman,42949,209,Sinar Distribusi,Y
278,SKU00278,Produk Simulasi 278,Kesehatan,43086,226,Mitra Dagang,Y
279,SKU00279,Produk Simulasi 279,Hobi,43223,243,Global Retail,Y
280,SKU00280,Produk Simulasi 280,Elektronik,43360,260,Nusantara Supply,Y
281,SKU00281,Produk Simulasi 281,Rumah Tangga,43497,277,Cipta Grosir,Y
282,SKU00282,Produk Simulasi 282,Fashion,43634,294,Sinar Distribusi,Y
283,SKU00283,Produk Simulasi 283,ATK,43771,311,Mitra Dagang,Y
284,SKU00284,Produk Simulasi 284,Makanan,43908,328,Global Retail,Y
285,SKU00285,Produk Simulasi 285,Minuman,44045,345,Nusantara Supply,Y
286,SKU00286,Produk Simulasi 286,Kesehatan,44182,362,Cipta Grosir,N
287,SKU00287,Produk Simulasi 287,Hobi,44319,379,Sinar Distribusi,Y
288,SKU00288,Produk Simulasi 288,Elektronik,44456,396,Mitra Dagang,Y
289,SKU00289,Produk Simulasi 289,Rumah Tangga,44593,413,Global Retail,Y
290,SKU00290,Produk Simulasi 290,Fashion,44730,430,Nusantara Supply,Y
291,SKU00291,Produk Simulasi 291,ATK,44867,447,Cipta Grosir,Y
292,SKU00292,Produk Simulasi 292,Makanan,45004,464,Sinar Distribusi,Y
293,SKU00293,Produk Simulasi 293,Minuman,45141,481,Mitra Dagang,Y
294,SKU00294,Produk Simulasi 294,Kesehatan,45278,498,Global Retail,Y
295,SKU00295,Produk Simulasi 295,Hobi,45415,15,Nusantara Supply,Y
296,SKU00296,Produk Simulasi 296,Elektronik,45552,32,Cipta Grosir,Y
297,SKU00297,Produk Simulasi 297,Rumah Tangga,45689,49,Sinar Distribusi,Y
298,SKU00298,Produk Simulasi 298,Fashion,45826,66,Mitra Dagang,Y
299,SKU00299,Produk Simulasi 299,ATK,45963,83,Global Retail,N
300,SKU00300,Produk Simulasi 300,Makanan,46100,100,Nusantara Supply,Y
301,SKU00301,Produk Simulasi 301,Minuman,46237,117,Cipta Grosir,Y
302,SKU00302,Produk Simulasi 302,Kesehatan,46374,134,Sinar Distribusi,Y
303,SKU00303,Produk Simulasi 303,Hobi,46511,151,Mitra Dagang,Y
304,SKU00304,Produk Simulasi 304,Elektronik,46648,168,Global Retail,Y
305,SKU00305,Produk Simulasi 305,Rumah Tangga,46785,185,Nusantara Supply,Y
306,SKU00306,Produk Simulasi 306,Fashion,46922,202,Cipta Grosir,Y
307,SKU00307,Produk Simulasi 307,ATK,47059,219,Sinar Distribusi,Y
308,SKU00308,Produk Simulasi 308,Makanan,47196,236,Mitra Dagang,Y
309,SKU00309,Produk Simulasi 309,Minuman,47333,253,Global Retail,Y
310,SKU00310,Produk Simulasi 310,Kesehatan,47470,270,Nusantara Supply,Y
311,SKU00311,Produk Simulasi 311,Hobi,47607,287,Cipta Grosir,Y
312,SKU00312,Produk Simulasi 312,Elektronik,47744,304,Sinar Distribusi,N
313,SKU00313,Produk Simulasi 313,Rumah Tangga,47881,321,Mitra Dagang,Y
314,SKU00314,Produk Simulasi 314,Fashion,48018,338,Global Retail,Y
315,SKU00315,Produk Simulasi 315,ATK,48155,355,Nusantara Supply,Y
316,SKU00316,Produk Simulasi 316,Makanan,48292,372,Cipta Grosir,Y
317,SKU00317,Produk Simulasi 317,Minuman,48429,389,Sinar Distribusi,Y
318,SKU00318,Produk Simulasi 318,Kesehatan,48566,406,Mitra Dagang,Y
319,SKU00319,Produk Simulasi 319,Hobi,48703,423,Global Retail,Y
320,SKU00320,Produk Simulasi 320,Elektronik,48840,440,Nusantara Supply,Y
321,SKU00321,Produk Simulasi 321,Rumah Tangga,48977,457,Cipta Grosir,Y
322,SKU00322,Produk Simulasi 322,Fashion,49114,474,Sinar Distribusi,Y
323,SKU00323,Produk Simulasi 323,ATK,49251,491,Mitra Dagang,Y
324,SKU00324,Produk Simulasi 324,Makanan,49388,8,Global Retail,Y
325,SKU00325,Produk Simulasi 325,Minuman,49525,25,Nusantara Supply,N
326,SKU00326,Produk Simulasi 326,Kesehatan,49662,42,Cipta Grosir,Y
327,SKU00327,Produk Simulasi 327,Hobi,49799,59,Sinar Distribusi,Y
328,SKU00328,Produk Simulasi 328,Elektronik,49936,76,Mitra Dagang,Y
329,SKU00329,Produk Simulasi 329,Rumah Tangga,50073,93,Global Retail,Y
330,SKU00330,Produk Simulasi 330,Fashion,50210,110,Nusantara Supply,Y
331,SKU00331,Produk Simulasi 331,ATK,50347,127,Cipta Grosir,Y
332,SKU00332,Produk Simulasi 332,Makanan,50484,144,Sinar Distribusi,Y
333,SKU00333,Produk Simulasi 333,Minuman,50621,161,Mitra Dagang,Y
334,SKU00334,Produk Simulasi 334,Kesehatan,50758,178,Global Retail,Y
335,SKU00335,Produk Simulasi 335,Hobi,50895,195,Nusantara Supply,Y
336,SKU00336,Produk Simulasi 336,Elektronik,51032,212,Cipta Grosir,Y
337,SKU00337,Produk Simulasi 337,Rumah Tangga,51169,229,Sinar Distribusi,Y
