pelanggan_id,nama,kota,level,tanggal_daftar,email_opt_in
42,Pelanggan 0042,Surabaya,Gold,2024-02-12,Y
43,Pelanggan 0043,Medan,Platinum,2024-02-13,Y
44,Pelanggan 0044,Makassar,Bronze,2024-02-14,N
45,Pelanggan 0045,Semarang,Silver,2024-02-15,Y
46,Pelanggan 0046,Yogyakarta,Gold,2024-02-16,Y
47,Pelanggan 0047,Denpasar,Platinum,2024-02-17,Y
48,Pelanggan 0048,Palembang,Bronze,2024-02-18,N
49,Pelanggan 0049,Balikpapan,Silver,2024-02-19,Y
50,Pelanggan 0050,Jakarta,Gold,2024-02-20,Y
51,Pelanggan 0051,Bandung,Platinum,2024-02-21,Y
52,Pelanggan 0052,Surabaya,Bronze,2024-02-22,N
53,Pelanggan 0053,Medan,Silver,2024-02-23,Y
54,Pelanggan 0054,Makassar,Gold,2024-02-24,Y
55,Pelanggan 0055,Semarang,Platinum,2024-02-25,Y
56,Pelanggan 0056,Yogyakarta,Bronze,2024-02-26,N
57,Pelanggan 0057,Denpasar,Silver,2024-02-27,Y
58,Pelanggan 0058,Palembang,Gold,2024-02-28,Y
59,Pelanggan 0059,Balikpapan,Platinum,2024-02-29,Y
60,Pelanggan 0060,Jakarta,Bronze,2024-03-01,N
61,Pelanggan 0061,Bandung,Silver,2024-03-02,Y
62,Pelanggan 0062,Surabaya,Gold,2024-03-03,Y
63,Pelanggan 0063,Medan,Platinum,2024-03-04,Y
64,Pelanggan 0064,Makassar,Bronze,2024-03-05,N
65,Pelanggan 0065,Semarang,Silver,2024-03-06,Y
66,Pelanggan 0066,Yogyakarta,Gold,2024-03-07,Y
67,Pelanggan 0067,Denpasar,Platinum,2024-03-08,Y
68,Pelanggan 0068,Palembang,Bronze,2024-03-09,N
69,Pelanggan 0069,Balikpapan,Silver,2024-03-10,Y
70,Pelanggan 0070,Jakarta,Gold,2024-03-11,Y
71,Pelanggan 0071,Bandung,Platinum,2024-03-12,Y
72,Pelanggan 0072,Surabaya,Bronze,2024-03-13,N
73,Pelanggan 0073,Medan,Silver,2024-03-14,Y
74,Pelanggan 0074,Makassar,Gold,2024-03-15,Y
75,Pelanggan 0075,Semarang,Platinum,2024-03-16,Y
76,Pelanggan 0076,Yogyakarta,Bronze,2024-03-17,N
77,Pelanggan 0077,Denpasar,Silver,2024-03-18,Y
78,Pelanggan 0078,Palembang,Gold,2024-03-19,Y
79,Pelanggan 0079,Balikpapan,Platinum,2024-03-20,Y
80,Pelanggan 0080,Jakarta,Bronze,2024-03-21,N
81,Pelanggan 0081,Bandung,Silver,2024-03-22,Y
82,Pelanggan 0082,Surabaya,Gold,2024-03-23,Y
83,Pelanggan 0083,Medan,Platinum,2024-03-24,Y
84,Pelanggan 0084,Makassar,Bronze,2024-03-25,N
85,Pelanggan 0085,Semarang,Silver,2024-03-26,Y
86,Pelanggan 0086,Yogyakarta,Gold,2024-03-27,Y
87,Pelanggan 0087,Denpasar,Platinum,2024-03-28,Y
88,Pelanggan 0088,Palembang,Bronze,2024-03-29,N
89,Pelanggan 0089,Balikpapan,Silver,2024-03-30,Y
90,Pelanggan 0090,Jakarta,Gold,2024-03-31,Y
91,Pelanggan 0091,Bandung,Platinum,2024-04-01,Y
92,Pelanggan 0092,Surabaya,Bronze,2024-04-02,N
93,Pelanggan 0093,Medan,Silver,2024-04-03,Y
94,Pelanggan 0094,Makassar,Gold,2024-04-04,Y
95,Pelanggan 0095,Semarang,Platinum,2024-04-05,Y
96,Pelanggan 0096,Yogyakarta,Bronze,2024-04-06,N
97,Pelanggan 0097,Denpasar,Silver,2024-04-07,Y
98,Pelanggan 0098,Palembang,Gold,2024-04-08,Y
99,Pelanggan 0099,Balikpapan,Platinum,2024-04-09,Y
100,Pelanggan 0100,Jakarta,Bronze,2024-04-10,N
101,Pelanggan 0101,Bandung,Silver,2024-04-11,Y
102,Pelanggan 0102,Surabaya,Gold,2024-04-12,Y
103,Pelanggan 0103,Medan,Platinum,2024-04-13,Y
104,Pelanggan 0104,Makassar,Bronze,2024-04-14,N
105,Pelanggan 0105,Semarang,Silver,2024-04-15,Y
106,Pelanggan 0106,Yogyakarta,Gold,2024-04-16,Y
107,Pelanggan 0107,Denpasar,Platinum,2024-04-17,Y
108,Pelanggan 0108,Palembang,Bronze,2024-04-18,N
109,Pelanggan 0109,Balikpapan,Silver,2024-04-19,Y
110,Pelanggan 0110,Jakarta,Gold,2024-04-20,Y
111,Pelanggan 0111,Bandung,Platinum,2024-04-21,Y
112,Pelanggan 0112,Surabaya,Bronze,2024-04-22,N
113,Pelanggan 0113,Medan,Silver,2024-04-23,Y
114,Pelanggan 0114,Makassar,Gold,2024-04-24,Y
115,Pelanggan 0115,Semarang,Platinum,2024-04-25,Y
116,Pelanggan 0116,Yogyakarta,Bronze,2024-04-26,N
117,Pelanggan 0117,Denpasar,Silver,2024-04-27,Y
118,Pelanggan 0118,Palembang,Gold,2024-04-28,Y
119,Pelanggan 0119,Balikpapan,Platinum,2024-04-29,Y
120,Pelanggan 0120,Jakarta,Bronze,2024-04-30,N
121,Pelanggan 0121,Bandung,Silver,2024-05-01,Y
122,Pelanggan 0122,Surabaya,Gold,2024-05-02,Y
123,Pelanggan 0123,Medan,Platinum,2024-05-03,Y
124,Pelanggan 0124,Makassar,Bronze,2024-05-04,N
125,Pelanggan 0125,Semarang,Silver,2024-05-05,Y
126,Pelanggan 0126,Yogyakarta,Gold,2024-05-06,Y
127,Pelanggan 0127,Denpasar,Platinum,2024-05-07,Y
128,Pelanggan 0128,Palembang,Bronze,2024-05-08,N
129,Pelanggan 0129,Balikpapan,Silver,2024-05-09,Y
130,Pelanggan 0130,Jakarta,Gold,2024-05-10,Y
131,Pelanggan 0131,Bandung,Platinum,2024-05-11,Y
132,Pelanggan 0132,Surabaya,Bronze,2024-05-12,N
133,Pelanggan 0133,Medan,Silver,2024-05-13,Y
134,Pelanggan 0134,Makassar,Gold,2024-05-14,Y
135,Pelanggan 0135,Semarang,Platinum,2024-05-15,Y
136,Pelanggan 0136,Yogyakarta,Bronze,2024-05-16,N
137,Pelanggan 0137,Denpasar,Silver,2024-05-17,Y
138,Pelanggan 0138,Palembang,Gold,2024-05-18,Y
139,Pelanggan 0139,Balikpapan,Platinum,2024-05-19,Y
140,Pelanggan 0140,Jakarta,Bronze,2024-05-20,N
141,Pelanggan 0141,Bandung,Silver,2024-05-21,Y
142,Pelanggan 0142,Surabaya,Gold,2024-05-22,Y
143,Pelanggan 0143,Medan,Platinum,2024-05-23,Y
144,Pelanggan 0144,Makassar,Bronze,2024-05-24,N
145,Pelanggan 0145,Semarang,Silver,2024-05-25,Y
146,Pelanggan 0146,Yogyakarta,Gold,2024-05-26,Y
147,Pelanggan 0147,Denpasar,Platinum,2024-05-27,Y
148,Pelanggan 0148,Palembang,Bronze,2024-05-28,N
149,Pelanggan 0149,Balikpapan,Silver,2024-05-29,Y
150,Pelanggan 0150,Jakarta,Gold,2024-05-30,Y
151,Pelanggan 0151,Bandung,Platinum,2024-05-31,Y
152,Pelanggan 0152,Surabaya,Bronze,2024-06-01,N
153,Pelanggan 0153,Medan,Silver,2024-06-02,Y
154,Pelanggan 0154,Makassar,Gold,2024-06-03,Y
155,Pelanggan 0155,Semarang,Platinum,2024-06-04,Y
156,Pelanggan 0156,Yogyakarta,Bronze,2024-06-05,N
157,Pelanggan 0157,Denpasar,Silver,2024-06-06,Y
158,Pelanggan 0158,Palembang,Gold,2024-06-07,Y
159,Pelanggan 0159,Balikpapan,Platinum,2024-06-08,Y
160,Pelanggan 0160,Jakarta,Bronze,2024-06-09,N
161,Pelanggan 0161,Bandung,Silver,2024-06-10,Y
162,Pelanggan 0162,Surabaya,Gold,2024-06-11,Y
163,Pelanggan 0163,Medan,Platinum,2024-06-12,Y
164,Pelanggan 0164,Makassar,Bronze,2024-06-13,N
165,Pelanggan 0165,Semarang,Silver,2024-06-14,Y
166,Pelanggan 0166,Yogyakarta,Gold,2024-06-15,Y
167,Pelanggan 0167,Denpasar,Platinum,2024-06-16,Y
168,Pelanggan 0168,Palembang,Bronze,2024-06-17,N
169,Pelanggan 0169,Balikpapan,Silver,2024-06-18,Y
170,Pelanggan 0170,Jakarta,Gold,2024-06-19,Y
171,Pelanggan 0171,Bandung,Platinum,2024-06-20,Y
172,Pelanggan 0172,Surabaya,Bronze,2024-06-21,N
173,Pelanggan 0173,Medan,Silver,2024-06-22,Y
174,Pelanggan 0174,Makassar,Gold,2024-06-23,Y
175,Pelanggan 0175,Semarang,Platinum,2024-06-24,Y
176,Pelanggan 0176,Yogyakarta,Bronze,2024-06-25,N
177,Pelanggan 0177,Denpasar,Silver,2024-06-26,Y
178,Pelanggan 0178,Palembang,Gold,2024-06-27,Y
179,Pelanggan 0179,Balikpapan,Platinum,2024-06-28,Y
180,Pelanggan 0180,Jakarta,Bronze,2024-06-29,N
181,Pelanggan 0181,Bandung,Silver,2024-06-30,Y
182,Pelanggan 0182,Surabaya,Gold,2024-07-01,Y
183,Pelanggan 0183,Medan,Platinum,2024-07-02,Y
184,Pelanggan 0184,Makassar,Bronze,2024-07-03,N
185,Pelanggan 0185,Semarang,Silver,2024-07-04,Y
186,Pelanggan 0186,Yogyakarta,Gold,2024-07-05,Y
187,Pelanggan 0187,Denpasar,Platinum,2024-07-06,Y
188,Pelanggan 0188,Palembang,Bronze,2024-07-07,N
189,Pelanggan 0189,Balikpapan,Silver,2024-07-08,Y
190,Pelanggan 0190,Jakarta,Gold,2024-07-09,Y
191,Pelanggan 0191,Bandung,Platinum,2024-07-10,Y
192,Pelanggan 0192,Surabaya,Bronze,2024-07-11,N
193,Pelanggan 0193,Medan,Silver,2024-07-12,Y
194,Pelanggan 0194,Makassar,Gold,2024-07-13,Y
195,Pelanggan 0195,Semarang,Platinum,2024-07-14,Y
196,Pelanggan 0196,Yogyakarta,Bronze,2024-07-15,N
197,Pelanggan 0197,Denpasar,Silver,2024-07-16,Y
198,Pelanggan 0198,Palembang,Gold,2024-07-17,Y
199,Pelanggan 0199,Balikpapan,Platinum,2024-07-18,Y
200,Pelanggan 0200,Jakarta,Bronze,2024-07-19,N
201,Pelanggan 0201,Bandung,Silver,2024-07-20,Y
202,Pelanggan 0202,Surabaya,Gold,2024-07-21,Y
203,Pelanggan 0203,Medan,Platinum,2024-07-22,Y
204,Pelanggan 0204,Makassar,Bronze,2024-07-23,N
205,Pelanggan 0205,Semarang,Silver,2024-07-24,Y
206,Pelanggan 0206,Yogyakarta,Gold,2024-07-25,Y
207,Pelanggan 0207,Denpasar,Platinum,2024-07-26,Y
208,Pelanggan 0208,Palembang,Bronze,2024-07-27,N
209,Pelanggan 0209,Balikpapan,Silver,2024-07-28,Y
210,Pelanggan 0210,Jakarta,Gold,2024-07-29,Y
211,Pelanggan 0211,Bandung,Platinum,2024-07-30,Y
212,Pelanggan 0212,Surabaya,Bronze,2024-07-31,N
213,Pelanggan 0213,Medan,Silver,2024-08-01,Y
214,Pelanggan 0214,Makassar,Gold,2024-08-02,Y
215,Pelanggan 0215,Semarang,Platinum,2024-08-03,Y
216,Pelanggan 0216,Yogyakarta,Bronze,2024-08-04,N
217,Pelanggan 0217,Denpasar,Silver,2024-08-05,Y
218,Pelanggan 0218,Palembang,Gold,2024-08-06,Y
219,Pelanggan 0219,Balikpapan,Platinum,2024-08-07,Y
220,Pelanggan 0220,Jakarta,Bronze,2024-08-08,N
221,Pelanggan 0221,Bandung,Silver,2024-08-09,Y
222,Pelanggan 0222,Surabaya,Gold,2024-08-10,Y
223,Pelanggan 0223,Medan,Platinum,2024-08-11,Y
224,Pelanggan 0224,Makassar,Bronze,2024-08-12,N
225,Pelanggan 0225,Semarang,Silver,2024-08-13,Y
226,Pelanggan 0226,Yogyakarta,Gold,2024-08-14,Y
227,Pelanggan 0227,Denpasar,Platinum,2024-08-15,Y
228,Pelanggan 0228,Palembang,Bronze,2024-08-16,N
229,Pelanggan 0229,Balikpapan,Silver,2024-08-17,Y
230,Pelanggan 0230,Jakarta,Gold,2024-08-18,Y
231,Pelanggan 0231,Bandung,Platinum,2024-08-19,Y
232,Pelanggan 0232,Surabaya,Bronze,2024-08-20,N
233,Pelanggan 0233,Medan,Silver,2024-08-21,Y
234,Pelanggan 0234,Makassar,Gold,2024-08-22,Y
235,Pelanggan 0235,Semarang,Platinum,2024-08-23,Y
236,Pelanggan 0236,Yogyakarta,Bronze,2024-08-24,N
237,Pelanggan 0237,Denpasar,Silver,2024-08-25,Y
238,Pelanggan 0238,Palembang,Gold,2024-08-26,Y
239,Pelanggan 0239,Balikpapan,Platinum,2024-08-27,Y
240,Pelanggan 0240,Jakarta,Bronze,2024-08-28,N
241,Pelanggan 0241,Bandung,Silver,2024-08-29,Y
242,Pelanggan 0242,Surabaya,Gold,2024-08-30,Y
243,Pelanggan 0243,Medan,Platinum,2024-08-31,Y
244,Pelanggan 0244,Makassar,Bronze,2024-09-01,N
245,Pelanggan 0245,Semarang,Silver,2024-09-02,Y
246,Pelanggan 0246,Yogyakarta,Gold,2024-09-03,Y
247,Pelanggan 0247,Denpasar,Platinum,2024-09-04,Y
248,Pelanggan 0248,Palembang,Bronze,2024-09-05,N
249,Pelanggan 0249,Balikpapan,Silver,2024-09-06,Y
250,Pelanggan 0250,Jakarta,Gold,2024-09-07,Y
251,Pelanggan 0251,Bandung,Platinum,2024-09-08,Y
252,Pelanggan 0252,Surabaya,Bronze,2024-09-09,N
253,Pelanggan 0253,Medan,Silver,2024-09-10,Y
254,Pelanggan 0254,Makassar,Gold,2024-09-11,Y
255,Pelanggan 0255,Semarang,Platinum,2024-09-12,Y
256,Pelanggan 0256,Yogyakarta,Bronze,2024-09-13,N
257,Pelanggan 0257,Denpasar,Silver,2024-09-14,Y
258,Pelanggan 0258,Palembang,Gold,2024-09-15,Y
259,Pelanggan 0259,Balikpapan,Platinum,2024-09-16,Y
260,Pelanggan 0260,Jakarta,Bronze,2024-09-17,N
261,Pelanggan 0261,Bandung,Silver,2024-09-18,Y
262,Pelanggan 0262,Surabaya,Gold,2024-09-19,Y
263,Pelanggan 0263,Medan,Platinum,2024-09-20,Y
264,Pelanggan 0264,Makassar,Bronze,2024-09-21,N
265,Pelanggan 0265,Semarang,Silver,2024-09-22,Y
266,Pelanggan 0266,Yogyakarta,Gold,2024-09-23,Y
267,Pelanggan 0267,Denpasar,Platinum,2024-09-24,Y
268,Pelanggan 0268,Palembang,Bronze,2024-09-25,N
269,Pelanggan 0269,Balikpapan,Silver,2024-09-26,Y
270,Pelanggan 0270,Jakarta,Gold,2024-09-27,Y
271,Pelanggan 0271,Bandung,Platinum,2024-09-28,Y
272,Pelanggan 0272,Surabaya,Bronze,2024-09-29,N
273,Pelanggan 0273,Medan,Silver,2024-09-30,Y
274,Pelanggan 0274,Makassar,Gold,2024-10-01,Y
275,Pelanggan 0275,Semarang,Platinum,2024-10-02,Y
276,Pelanggan 0276,Yogyakarta,Bronze,2024-10-03,N
277,Pelanggan 0277,Denpasar,Silver,2024-10-04,Y
278,Pelanggan 0278,Palembang,Gold,2024-10-05,Y
279,Pelanggan 0279,Balikpapan,Platinum,2024-10-06,Y
280,Pelanggan 0280,Jakarta,Bronze,2024-10-07,N
281,Pelanggan 0281,Bandung,Silver,2024-10-08,Y
282,Pelanggan 0282,Surabaya,Gold,2024-10-09,Y
283,Pelanggan 0283,Medan,Platinum,2024-10-10,Y
284,Pelanggan 0284,Makassar,Bronze,2024-10-11,N
285,Pelanggan 0285,Semarang,Silver,2024-10-12,Y
286,Pelanggan 0286,Yogyakarta,Gold,2024-10-13,Y
287,Pelanggan 0287,Denpasar,Platinum,2024-10-14,Y
288,Pelanggan 0288,Palembang,Bronze,2024-10-15,N
289,Pelanggan 0289,Balikpapan,Silver,2024-10-16,Y
290,Pelanggan 0290,Jakarta,Gold,2024-10-17,Y
291,Pelanggan 0291,Bandung,Platinum,2024-10-18,Y
292,Pelanggan 0292,Surabaya,Bronze,2024-10-19,N
293,Pelanggan 0293,Medan,Silver,2024-10-20,Y
294,Pelanggan 0294,Makassar,Gold,2024-10-21,Y
295,Pelanggan 0295,Semarang,Platinum,2024-10-22,Y
296,Pelanggan 0296,Yogyakarta,Bronze,2024-10-23,N
297,Pelanggan 0297,Denpasar,Silver,2024-10-24,Y
298,Pelanggan 0298,Palembang,Gold,2024-10-25,Y
299,Pelanggan 0299,Balikpapan,Platinum,2024-10-26,Y
300,Pelanggan 0300,Jakarta,Bronze,2024-10-27,N
301,Pelanggan 0301,Bandung,Silver,2024-10-28,Y
302,Pelanggan 0302,Surabaya,Gold,2024-10-29,Y
303,Pelanggan 0303,Medan,Platinum,2024-10-30,Y
304,Pelanggan 0304,Makassar,Bronze,2024-10-31,N
305,Pelanggan 0305,Semarang,Silver,2024-11-01,Y
306,Pelanggan 0306,Yogyakarta,Gold,2024-11-02,Y
307,Pelanggan 0307,Denpasar,Platinum,2024-11-03,Y
308,Pelanggan 0308,Palembang,Bronze,2024-11-04,N
309,Pelanggan 0309,Balikpapan,Silver,2024-11-05,Y
310,Pelanggan 0310,Jakarta,Gold,2024-11-06,Y
311,Pelanggan 0311,Bandung,Platinum,2024-11-07,Y
312,Pelanggan 0312,Surabaya,Bronze,2024-11-08,N
313,Pelanggan 0313,Medan,Silver,2024-11-09,Y
314,Pelanggan 0314,Makassar,Gold,2024-11-10,Y
315,Pelanggan 0315,Semarang,Platinum,2024-11-11,Y
316,Pelanggan 0316,Yogyakarta,Bronze,2024-11-12,N
317,Pelanggan 0317,Denpasar,Silver,2024-11-13,Y
318,Pelanggan 0318,Palembang,Gold,2024-11-14,Y
319,Pelanggan 0319,Balikpapan,Platinum,2024-11-15,Y
320,Pelanggan 0320,Jakarta,Bronze,2024-11-16,N
321,Pelanggan 0321,Bandung,Silver,2024-11-17,Y
322,Pelanggan 0322,Surabaya,Gold,2024-11-18,Y
323,Pelanggan 0323,Medan,Platinum,2024-11-19,Y
324,Pelanggan 0324,Makassar,Bronze,2024-11-20,N
325,Pelanggan 0325,Semarang,Silver,2024-11-21,Y
326,Pelanggan 0326,Yogyakarta,Gold,2024-11-22,Y
327,Pelanggan 0327,Denpasar,Platinum,2024-11-23,Y
328,Pelanggan 0328,Palembang,Bronze,2024-11-24,N
329,Pelanggan 0329,Balikpapan,Silver,2024-11-25,Y
330,Pelanggan 0330,Jakarta,Gold,2024-11-26,Y
331,Pelanggan 0331,Bandung,Platinum,2024-11-27,Y
332,Pelanggan 0332,Surabaya,Bronze,2024-11-28,N
333,Pelanggan 0333,Medan,Silver,2024-11-29,Y
334,Pelanggan 0334,Makassar,Gold,2024-11-30,Y
335,Pelanggan 0335,Semarang,Platinum,2024-12-01,Y
336,Pelanggan 0336,Yogyakarta,Bronze,2024-12-02,N
337,Pelanggan 0337,Denpasar,Silver,2024-12-03,Y
338,Pelanggan 0338,Palembang,Gold,2024-12-04,Y
339,Pelanggan 0339,Balikpapan,Platinum,2024-12-05,Y
340,Pelanggan 0340,Jakarta,Bronze,2024-12-06,N
341,Pelanggan 0341,Bandung,Silver,2024-12-07,Y
342,Pelanggan 0342,Surabaya,Gold,2024-12-08,Y
343,Pelanggan 0343,Medan,Platinum,2024-12-09,Y
344,Pelanggan 0344,Makassar,Bronze,2024-12-10,N
345,Pelanggan 0345,Semarang,Silver,2024-12-11,Y
346,Pelanggan 0346,Yogyakarta,Gold,2024-12-12,Y
347,Pelanggan 0347,Denpasar,Platinum,2024-12-13,Y
348,Pelanggan 0348,Palembang,Bronze,2024-12-14,N
349,Pelanggan 0349,Balikpapan,Silver,2024-12-15,Y
350,Pelanggan 0350,Jakarta,Gold,2024-12-16,Y
351,Pelanggan 0351,Bandung,Platinum,2024-12-17,Y
352,Pelanggan 0352,Surabaya,Bronze,2024-12-18,N
353,Pelanggan 0353,Medan,Silver,2024-12-19,Y
354,Pelanggan 0354,Makassar,Gold,2024-12-20,Y
355,Pelanggan 0355,Semarang,Platinum,2024-12-21,Y
356,Pelanggan 0356,Yogyakarta,Bronze,2024-12-22,N
357,Pelanggan 0357,Denpasar,Silver,2024-12-23,Y
358,Pelanggan 0358,Palembang,Gold,2024-12-24,Y
359,Pelanggan 0359,Balikpapan,Platinum,2024-12-25,Y
360,Pelanggan 0360,Jakarta,Bronze,2024-12-26,N
361,Pelanggan 0361,Bandung,Silver,2024-12-27,Y
362,Pelanggan 0362,Surabaya,Gold,2024-12-28,Y
363,Pelanggan 0363,Medan,Platinum,2024-12-29,Y
364,Pelanggan 0364,Makassar,Bronze,2024-12-30,N
365,Pelanggan 0365,Semarang,Silver,2024-12-31,Y
366,Pelanggan 0366,Yogyakarta,Gold,2025-01-01,Y
367,Pelanggan 0367,Denpasar,Platinum,2025-01-02,Y
368,Pelanggan 0368,Palembang,Bronze,2025-01-03,N
369,Pelanggan 0369,Balikpapan,Silver,2025-01-04,Y
370,Pelanggan 0370,Jakarta,Gold,2025-01-05,Y
371,Pelanggan 0371,Bandung,Platinum,2025-01-06,Y
372,Pelanggan 0372,Surabaya,Bronze,2025-01-07,N
373,Pelanggan 0373,Medan,Silver,2025-01-08,Y
374,Pelanggan 0374,Makassar,Gold,2025-01-09,Y
375,Pelanggan 0375,Semarang,Platinum,2025-01-10,Y
376,Pelanggan 0376,Yogyakarta,Bronze,2025-01-11,N
377,Pelanggan 0377,Denpasar,Silver,2025-01-12,Y
378,Pelanggan 0378,Palembang,Gold,2025-01-13,Y
379,Pelanggan 0379,Balikpapan,Platinum,2025-01-14,Y
380,Pelanggan 0380,Jakarta,Bronze,2025-01-15,N
381,Pelanggan 0381,Bandung,Silver,2025-01-16,Y
382,Pelanggan 0382,Surabaya,Gold,2025-01-17,Y
383,Pelanggan 0383,Medan,Platinum,2025-01-18,Y
384,Pelanggan 0384,Makassar,Bronze,2025-01-19,N
385,Pelanggan 0385,Semarang,Silver,2025-01-20,Y
386,Pelanggan 0386,Yogyakarta,Gold,2025-01-21,Y
387,Pelanggan 0387,Denpasar,Platinum,2025-01-22,Y
388,Pelanggan 0388,Palembang,Bronze,2025-01-23,N
389,Pelanggan 0389,Balikpapan,Silver,2025-01-24,Y
390,Pelanggan 0390,Jakarta,Gold,2025-01-25,Y
391,Pelanggan 0391,Bandung,Platinum,2025-01-26,Y
392,Pelanggan 0392,Surabaya,Bronze,2025-01-27,N
393,Pelanggan 0393,Medan,Silver,2025-01-28,Y
394,Pelanggan 0394,Makassar,Gold,2025-01-29,Y
395,Pelanggan 0395,Semarang,Platinum,2025-01-30,Y
396,Pelanggan 0396,Yogyakarta,Bronze,2025-01-31,N
397,Pelanggan 0397,Denpasar,Silver,2025-02-01,Y
398,Pelanggan 0398,Palembang,Gold,2025-02-02,Y
399,Pelanggan 0399,Balikpapan,Platinum,2025-02-03,Y
400,Pelanggan 0400,Jakarta,Bronze,2025-02-04,N
401,Pelanggan 0401,Bandung,Silver,2025-02-05,Y
402,Pelanggan 0402,Surabaya,Gold,2025-02-06,Y
403,Pelanggan 0403,Medan,Platinum,2025-02-07,Y
404,Pelanggan 0404,Makassar,Bronze,2025-02-08,N
405,Pelanggan 0405,Semarang,Silver,2025-02-09,Y
406,Pelanggan 0406,Yogyakarta,Gold,2025-02-10,Y
407,Pelanggan 0407,Denpasar,Platinum,2025-02-11,Y
408,Pelanggan 0408,Palembang,Bronze,2025-02-12,N
409,Pelanggan 0409,Balikpapan,Silver,2025-02-13,Y
410,Pelanggan 0410,Jakarta,Gold,2025-02-14,Y
411,Pelanggan 0411,Bandung,Platinum,2025-02-15,Y
412,Pelanggan 0412,Surabaya,Bronze,2025-02-16,N
413,Pelanggan 0413,Medan,Silver,2025-02-17,Y
414,Pelanggan 0414,Makassar,Gold,2025-02-18,Y
415,Pelanggan 0415,Semarang,Platinum,2025-02-19,Y
416,Pelanggan 0416,Yogyakarta,Bronze,2025-02-20,N
417,Pelanggan 0417,Denpasar,Silver,2025-02-21,Y
418,Pelanggan 0418,Palembang,Gold,2025-02-22,Y
419,Pelanggan 0419,Balikpapan,Platinum,2025-02-23,Y
420,Pelanggan 0420,Jakarta,Bronze,2025-02-24,N
421,Pelanggan 0421,Bandung,Silver,2025-02-25,Y
422,Pelanggan 0422,Surabaya,Gold,2025-02-26,Y
423,Pelanggan 0423,Medan,Platinum,2025-02-27,Y
424,Pelanggan 0424,Makassar,Bronze,2025-02-28,N
425,Pelanggan 0425,Semarang,Silver,2025-03-01,Y
426,Pelanggan 0426,Yogyakarta,Gold,2025-03-02,Y
427,Pelanggan 0427,Denpasar,Platinum,2025-03-03,Y
428,Pelanggan 0428,Palembang,Bronze,2025-03-04,N
429,Pelanggan 0429,Balikpapan,Silver,2025-03-05,Y
430,Pelanggan 0430,Jakarta,Gold,2025-03-06,Y
431,Pelanggan 0431,Bandung,Platinum,2025-03-07,Y
432,Pelanggan 0432,Surabaya,Bronze,2025-03-08,N
433,Pelanggan 0433,Medan,Silver,2025-03-09,Y
434,Pelanggan 0434,Makassar,Gold,2025-03-10,Y
435,Pelanggan 0435,Semarang,Platinum,2025-03-11,Y
436,Pelanggan 0436,Yogyakarta,Bronze,2025-03-12,N
