tanggal,kota,kategori,order_count,gross_sales,discount,net_sales
2026-01-03,Makassar,Elektronik,29,1044116,20882,1023234
2026-01-03,Makassar,Fashion,26,864578,17291,847287
2026-01-03,Makassar,ATK,22,650870,13017,637853
2026-01-03,Makassar,Makanan,26,864578,17291,847287
2026-01-03,Makassar,Kesehatan,28,982436,19648,962788
2026-01-04,Jakarta,Elektronik,31,1144551,34336,1110215
2026-01-04,Jakarta,Fashion,28,956760,28702,928058
2026-01-04,Jakarta,ATK,24,732048,21961,710087
2026-01-04,Jakarta,Makanan,28,956760,28702,928058
2026-01-04,Jakarta,Kesehatan,30,1080120,32403,1047717
2026-01-04,Bandung,Elektronik,31,1144551,34336,1110215
2026-01-04,Bandung,Fashion,28,956760,28702,928058
2026-01-04,Bandung,ATK,24,732048,21961,710087
2026-01-04,Bandung,Makanan,28,956760,28702,928058
2026-01-04,Bandung,Kesehatan,30,1080120,32403,1047717
2026-01-04,Surabaya,Elektronik,32,1181472,35444,1146028
2026-01-04,Surabaya,Fashion,29,990930,29727,961203
2026-01-04,Surabaya,ATK,25,762550,22876,739674
2026-01-04,Surabaya,Makanan,29,990930,29727,961203
2026-01-04,Surabaya,Kesehatan,31,1116124,33483,1082641
2026-01-04,Medan,Elektronik,29,1070709,32121,1038588
2026-01-04,Medan,Fashion,26,888420,26652,861768
2026-01-04,Medan,ATK,22,671044,20131,650913
2026-01-04,Medan,Makanan,26,888420,26652,861768
2026-01-04,Medan,Kesehatan,28,1008112,30243,977869
2026-01-04,Makassar,Elektronik,32,1181472,35444,1146028
2026-01-04,Makassar,Fashion,29,990930,29727,961203
2026-01-04,Makassar,ATK,25,762550,22876,739674
2026-01-04,Makassar,Makanan,29,990930,29727,961203
2026-01-04,Makassar,Kesehatan,31,1116124,33483,1082641
2026-01-05,Jakarta,Elektronik,34,1286492,51459,1235033
2026-01-05,Jakarta,Fashion,31,1087697,43507,1044190
2026-01-05,Jakarta,ATK,27,848313,33932,814381
2026-01-05,Jakarta,Makanan,31,1087697,43507,1044190
2026-01-05,Jakarta,Kesehatan,33,1218393,48735,1169658
2026-01-05,Bandung,Elektronik,34,1286492,51459,1235033
2026-01-05,Bandung,Fashion,31,1087697,43507,1044190
2026-01-05,Bandung,ATK,27,848313,33932,814381
2026-01-05,Bandung,Makanan,31,1087697,43507,1044190
2026-01-05,Bandung,Kesehatan,33,1218393,48735,1169658
2026-01-05,Surabaya,Elektronik,35,1324330,52973,1271357
2026-01-05,Surabaya,Fashion,32,1122784,44911,1077873
2026-01-05,Surabaya,ATK,28,879732,35189,844543
2026-01-05,Surabaya,Makanan,32,1122784,44911,1077873
2026-01-05,Surabaya,Kesehatan,34,1255314,50212,1205102
2026-01-05,Medan,Elektronik,32,1210816,48432,1162384
2026-01-05,Medan,Fashion,29,1017523,40700,976823
2026-01-05,Medan,ATK,25,785475,31419,754056
2026-01-05,Medan,Makanan,29,1017523,40700,976823
2026-01-05,Medan,Kesehatan,31,1144551,45782,1098769
2026-01-05,Makassar,Elektronik,35,1324330,52973,1271357
2026-01-05,Makassar,Fashion,32,1122784,44911,1077873
2026-01-05,Makassar,ATK,28,879732,35189,844543
2026-01-05,Makassar,Makanan,32,1122784,44911,1077873
2026-01-05,Makassar,Kesehatan,34,1255314,50212,1205102
2026-01-06,Jakarta,Elektronik,37,1433935,71696,1362239
2026-01-06,Jakarta,Fashion,34,1224136,61206,1162930
2026-01-06,Jakarta,ATK,30,970080,48504,921576
2026-01-06,Jakarta,Makanan,34,1224136,61206,1162930
2026-01-06,Jakarta,Kesehatan,36,1362168,68108,1294060
2026-01-06,Bandung,Elektronik,37,1433935,71696,1362239
2026-01-06,Bandung,Fashion,34,1224136,61206,1162930
2026-01-06,Bandung,ATK,30,970080,48504,921576
2026-01-06,Bandung,Makanan,34,1224136,61206,1162930
2026-01-06,Bandung,Kesehatan,36,1362168,68108,1294060
2026-01-06,Surabaya,Elektronik,38,1472690,73634,1399056
2026-01-06,Surabaya,Fashion,35,1260140,63007,1197133
2026-01-06,Surabaya,ATK,31,1002416,50120,952296
2026-01-06,Surabaya,Makanan,35,1260140,63007,1197133
2026-01-06,Surabaya,Kesehatan,37,1400006,70000,1330006
2026-01-06,Medan,Elektronik,35,1356425,67821,1288604
2026-01-06,Medan,Fashion,32,1152128,57606,1094522
2026-01-06,Medan,ATK,28,905408,45270,860138
2026-01-06,Medan,Makanan,32,1152128,57606,1094522
2026-01-06,Medan,Kesehatan,34,1286492,64324,1222168
2026-01-06,Makassar,Elektronik,38,1472690,73634,1399056
2026-01-06,Makassar,Fashion,35,1260140,63007,1197133
2026-01-06,Makassar,ATK,31,1002416,50120,952296
2026-01-06,Makassar,Makanan,35,1260140,63007,1197133
2026-01-06,Makassar,Kesehatan,37,1400006,70000,1330006
2026-01-07,Jakarta,Elektronik,40,1586880,95212,1491668
2026-01-07,Jakarta,Fashion,37,1366077,81964,1284113
2026-01-07,Jakarta,ATK,33,1097349,65840,1031509
2026-01-07,Jakarta,Makanan,37,1366077,81964,1284113
2026-01-07,Jakarta,Kesehatan,39,1511445,90686,1420759
2026-01-07,Bandung,Elektronik,40,1586880,95212,1491668
2026-01-07,Bandung,Fashion,37,1366077,81964,1284113
2026-01-07,Bandung,ATK,33,1097349,65840,1031509
2026-01-07,Bandung,Makanan,37,1366077,81964,1284113
2026-01-07,Bandung,Kesehatan,39,1511445,90686,1420759
2026-01-07,Surabaya,Elektronik,41,1626552,97593,1528959
2026-01-07,Surabaya,Fashion,38,1402998,84179,1318819
2026-01-07,Surabaya,ATK,34,1130602,67836,1062766
2026-01-07,Surabaya,Makanan,38,1402998,84179,1318819
2026-01-07,Surabaya,Kesehatan,40,1550200,93012,1457188
2026-01-07,Medan,Elektronik,38,1507536,90452,1417084
2026-01-07,Medan,Fashion,35,1292235,77534,1214701
2026-01-07,Medan,ATK,31,1030843,61850,968993
2026-01-07,Medan,Makanan,35,1292235,77534,1214701
2026-01-07,Medan,Kesehatan,37,1433935,86036,1347899
2026-01-07,Makassar,Elektronik,41,1626552,97593,1528959
2026-01-07,Makassar,Fashion,38,1402998,84179,1318819
2026-01-07,Makassar,ATK,34,1130602,67836,1062766
2026-01-07,Makassar,Makanan,38,1402998,84179,1318819
2026-01-07,Makassar,Kesehatan,40,1550200,93012,1457188
2026-01-08,Jakarta,Elektronik,43,1745327,122172,1623155
2026-01-08,Jakarta,Fashion,40,1513520,105946,1407574
2026-01-08,Jakarta,ATK,36,1230120,86108,1144012
2026-01-08,Jakarta,Makanan,40,1513520,105946,1407574
2026-01-08,Jakarta,Kesehatan,42,1666224,116635,1549589
2026-01-08,Bandung,Elektronik,43,1745327,122172,1623155
2026-01-08,Bandung,Fashion,40,1513520,105946,1407574
2026-01-08,Bandung,ATK,36,1230120,86108,1144012
2026-01-08,Bandung,Makanan,40,1513520,105946,1407574
2026-01-08,Bandung,Kesehatan,42,1666224,116635,1549589
2026-01-08,Surabaya,Elektronik,44,1785916,125014,1660902
2026-01-08,Surabaya,Fashion,41,1551358,108595,1442763
2026-01-08,Surabaya,ATK,37,1264290,88500,1175790
2026-01-08,Surabaya,Makanan,41,1551358,108595,1442763
2026-01-08,Surabaya,Kesehatan,43,1705896,119412,1586484
2026-01-08,Medan,Elektronik,41,1664149,116490,1547659
2026-01-08,Medan,Fashion,38,1437844,100649,1337195
2026-01-08,Medan,ATK,34,1161780,81324,1080456
2026-01-08,Medan,Makanan,38,1437844,100649,1337195
2026-01-08,Medan,Kesehatan,40,1586880,111081,1475799
2026-01-08,Makassar,Elektronik,44,1785916,125014,1660902
2026-01-08,Makassar,Fashion,41,1551358,108595,1442763
2026-01-08,Makassar,ATK,37,1264290,88500,1175790
2026-01-08,Makassar,Makanan,41,1551358,108595,1442763
2026-01-08,Makassar,Kesehatan,43,1705896,119412,1586484
2026-01-09,Jakarta,Elektronik,46,1909276,152742,1756534
2026-01-09,Jakarta,Fashion,43,1666465,133317,1533148
2026-01-09,Jakarta,ATK,39,1368393,109471,1258922
2026-01-09,Jakarta,Makanan,43,1666465,133317,1533148
2026-01-09,Jakarta,Kesehatan,45,1826505,146120,1680385
2026-01-09,Bandung,Elektronik,46,1909276,152742,1756534
2026-01-09,Bandung,Fashion,43,1666465,133317,1533148
2026-01-09,Bandung,ATK,39,1368393,109471,1258922
2026-01-09,Bandung,Makanan,43,1666465,133317,1533148
2026-01-09,Bandung,Kesehatan,45,1826505,146120,1680385
2026-01-09,Surabaya,Elektronik,47,1950782,156062,1794720
2026-01-09,Surabaya,Fashion,44,1705220,136417,1568803
2026-01-09,Surabaya,ATK,40,1403480,112278,1291202
2026-01-09,Surabaya,Makanan,44,1705220,136417,1568803
2026-01-09,Surabaya,Kesehatan,46,1867094,149367,1717727
2026-01-09,Medan,Elektronik,44,1826264,146101,1680163
2026-01-09,Medan,Fashion,41,1588955,127116,1461839
2026-01-09,Medan,ATK,37,1298219,103857,1194362
2026-01-09,Medan,Makanan,41,1588955,127116,1461839
2026-01-09,Medan,Kesehatan,43,1745327,139626,1605701
2026-01-09,Makassar,Elektronik,47,1950782,156062,1794720
2026-01-09,Makassar,Fashion,44,1705220,136417,1568803
2026-01-09,Makassar,ATK,40,1403480,112278,1291202
2026-01-09,Makassar,Makanan,44,1705220,136417,1568803
2026-01-09,Makassar,Kesehatan,46,1867094,149367,1717727
2026-01-10,Jakarta,Elektronik,49,2078727,187085,1891642
2026-01-10,Jakarta,Fashion,46,1824912,164242,1660670
2026-01-10,Jakarta,ATK,42,1512168,136095,1376073
2026-01-10,Jakarta,Makanan,46,1824912,164242,1660670
2026-01-10,Jakarta,Kesehatan,48,1992288,179305,1812983
2026-01-10,Bandung,Elektronik,49,2078727,187085,1891642
2026-01-10,Bandung,Fashion,46,1824912,164242,1660670
2026-01-10,Bandung,ATK,42,1512168,136095,1376073
2026-01-10,Bandung,Makanan,46,1824912,164242,1660670
2026-01-10,Bandung,Kesehatan,48,1992288,179305,1812983
2026-01-10,Surabaya,Elektronik,50,2121150,190903,1930247
2026-01-10,Surabaya,Fashion,47,1864584,167812,1696772
2026-01-10,Surabaya,ATK,43,1548172,139335,1408837
2026-01-10,Surabaya,Makanan,47,1864584,167812,1696772
2026-01-10,Surabaya,Kesehatan,49,2033794,183041,1850753
2026-01-10,Medan,Elektronik,47,1993881,179449,1814432
2026-01-10,Medan,Fashion,44,1745568,157101,1588467
2026-01-10,Medan,ATK,40,1440160,129614,1310546
2026-01-10,Medan,Makanan,44,1745568,157101,1588467
2026-01-10,Medan,Kesehatan,46,1909276,171834,1737442
2026-01-10,Makassar,Elektronik,50,2121150,190903,1930247
2026-01-10,Makassar,Fashion,47,1864584,167812,1696772
2026-01-10,Makassar,ATK,43,1548172,139335,1408837
2026-01-10,Makassar,Makanan,47,1864584,167812,1696772
2026-01-10,Makassar,Kesehatan,49,2033794,183041,1850753
2026-01-11,Jakarta,Elektronik,52,2253680,225368,2028312
2026-01-11,Jakarta,Fashion,49,1988861,198886,1789975
2026-01-11,Jakarta,ATK,45,1661445,166144,1495301
2026-01-11,Jakarta,Makanan,49,1988861,198886,1789975
2026-01-11,Jakarta,Kesehatan,51,2163573,216357,1947216
2026-01-11,Bandung,Elektronik,52,2253680,225368,2028312
2026-01-11,Bandung,Fashion,49,1988861,198886,1789975
2026-01-11,Bandung,ATK,45,1661445,166144,1495301
2026-01-11,Bandung,Makanan,49,1988861,198886,1789975
2026-01-11,Bandung,Kesehatan,51,2163573,216357,1947216
2026-01-11,Surabaya,Elektronik,53,2297020,229702,2067318
2026-01-11,Surabaya,Fashion,50,2029450,202945,1826505
2026-01-11,Surabaya,ATK,46,1698366,169836,1528530
2026-01-11,Surabaya,Makanan,50,2029450,202945,1826505
2026-01-11,Surabaya,Kesehatan,52,2205996,220599,1985397
2026-01-11,Medan,Elektronik,50,2167000,216700,1950300
2026-01-11,Medan,Fashion,47,1907683,190768,1716915
2026-01-11,Medan,ATK,43,1587603,158760,1428843
2026-01-11,Medan,Makanan,47,1907683,190768,1716915
2026-01-11,Medan,Kesehatan,49,2078727,207872,1870855
2026-01-11,Makassar,Elektronik,53,2297020,229702,2067318
2026-01-11,Makassar,Fashion,50,2029450,202945,1826505
2026-01-11,Makassar,ATK,46,1698366,169836,1528530
2026-01-11,Makassar,Makanan,50,2029450,202945,1826505
2026-01-11,Makassar,Kesehatan,52,2205996,220599,1985397
2026-01-12,Jakarta,Elektronik,55,2434135,0,2434135
2026-01-12,Jakarta,Fashion,52,2158312,0,2158312
2026-01-12,Jakarta,ATK,48,1816224,0,1816224
2026-01-12,Jakarta,Makanan,52,2158312,0,2158312
2026-01-12,Jakarta,Kesehatan,54,2340360,0,2340360
2026-01-12,Bandung,Elektronik,55,2434135,0,2434135
2026-01-12,Bandung,Fashion,52,2158312,0,2158312
2026-01-12,Bandung,ATK,48,1816224,0,1816224
2026-01-12,Bandung,Makanan,52,2158312,0,2158312
2026-01-12,Bandung,Kesehatan,54,2340360,0,2340360
2026-01-12,Surabaya,Elektronik,56,2478392,0,2478392
2026-01-12,Surabaya,Fashion,53,2199818,0,2199818
2026-01-12,Surabaya,ATK,49,1854062,0,1854062
2026-01-12,Surabaya,Makanan,53,2199818,0,2199818
2026-01-12,Surabaya,Kesehatan,55,2383700,0,2383700
2026-01-12,Medan,Elektronik,53,2345621,0,2345621
2026-01-12,Medan,Fashion,50,2075300,0,2075300
2026-01-12,Medan,ATK,46,1740548,0,1740548
2026-01-12,Medan,Makanan,50,2075300,0,2075300
2026-01-12,Medan,Kesehatan,52,2253680,0,2253680
2026-01-12,Makassar,Elektronik,56,2478392,0,2478392
2026-01-12,Makassar,Fashion,53,2199818,0,2199818
2026-01-12,Makassar,ATK,49,1854062,0,1854062
2026-01-12,Makassar,Makanan,53,2199818,0,2199818
2026-01-12,Makassar,Kesehatan,55,2383700,0,2383700
2026-01-13,Jakarta,Elektronik,58,2620092,26200,2593892
2026-01-13,Jakarta,Fashion,55,2333265,23332,2309933
2026-01-13,Jakarta,ATK,51,1976505,19765,1956740
2026-01-13,Jakarta,Makanan,55,2333265,23332,2309933
2026-01-13,Jakarta,Kesehatan,57,2522649,25226,2497423
2026-01-13,Bandung,Elektronik,58,2620092,26200,2593892
2026-01-13,Bandung,Fashion,55,2333265,23332,2309933
2026-01-13,Bandung,ATK,51,1976505,19765,1956740
2026-01-13,Bandung,Makanan,55,2333265,23332,2309933
2026-01-13,Bandung,Kesehatan,57,2522649,25226,2497423
2026-01-13,Surabaya,Elektronik,59,2665266,26652,2638614
2026-01-13,Surabaya,Fashion,56,2375688,23756,2351932
2026-01-13,Surabaya,ATK,52,2015260,20152,1995108
2026-01-13,Surabaya,Makanan,56,2375688,23756,2351932
2026-01-13,Surabaya,Kesehatan,58,2566906,25669,2541237
2026-01-13,Medan,Elektronik,56,2529744,25297,2504447
2026-01-13,Medan,Fashion,53,2248419,22484,2225935
2026-01-13,Medan,ATK,49,1898995,18989,1880006
2026-01-13,Medan,Makanan,53,2248419,22484,2225935
2026-01-13,Medan,Kesehatan,55,2434135,24341,2409794
2026-01-13,Makassar,Elektronik,59,2665266,26652,2638614
2026-01-13,Makassar,Fashion,56,2375688,23756,2351932
2026-01-13,Makassar,ATK,52,2015260,20152,1995108
2026-01-13,Makassar,Makanan,56,2375688,23756,2351932
2026-01-13,Makassar,Kesehatan,58,2566906,25669,2541237
2026-01-14,Jakarta,Elektronik,61,2811551,56231,2755320
2026-01-14,Jakarta,Fashion,58,2513720,50274,2463446
2026-01-14,Jakarta,ATK,54,2142288,42845,2099443
2026-01-14,Jakarta,Makanan,58,2513720,50274,2463446
2026-01-14,Jakarta,Kesehatan,60,2710440,54208,2656232
2026-01-14,Bandung,Elektronik,61,2811551,56231,2755320
2026-01-14,Bandung,Fashion,58,2513720,50274,2463446
2026-01-14,Bandung,ATK,54,2142288,42845,2099443
2026-01-14,Bandung,Makanan,58,2513720,50274,2463446
2026-01-14,Bandung,Kesehatan,60,2710440,54208,2656232
2026-01-14,Surabaya,Elektronik,62,2857642,57152,2800490
2026-01-14,Surabaya,Fashion,59,2557060,51141,2505919
2026-01-14,Surabaya,ATK,55,2181960,43639,2138321
2026-01-14,Surabaya,Makanan,59,2557060,51141,2505919
2026-01-14,Surabaya,Kesehatan,61,2755614,55112,2700502
2026-01-14,Medan,Elektronik,59,2719369,54387,2664982
2026-01-14,Medan,Fashion,56,2427040,48540,2378500
2026-01-14,Medan,ATK,52,2062944,41258,2021686
2026-01-14,Medan,Makanan,56,2427040,48540,2378500
2026-01-14,Medan,Kesehatan,58,2620092,52401,2567691
2026-01-14,Makassar,Elektronik,62,2857642,57152,2800490
2026-01-14,Makassar,Fashion,59,2557060,51141,2505919
2026-01-14,Makassar,ATK,55,2181960,43639,2138321
2026-01-14,Makassar,Makanan,59,2557060,51141,2505919
2026-01-14,Makassar,Kesehatan,61,2755614,55112,2700502
2026-01-15,Jakarta,Elektronik,64,3008512,90255,2918257
2026-01-15,Jakarta,Fashion,61,2699677,80990,2618687
2026-01-15,Jakarta,ATK,57,2313573,69407,2244166
2026-01-15,Jakarta,Makanan,61,2699677,80990,2618687
2026-01-15,Jakarta,Kesehatan,63,2903733,87111,2816622
2026-01-15,Bandung,Elektronik,64,3008512,90255,2918257
2026-01-15,Bandung,Fashion,61,2699677,80990,2618687
2026-01-15,Bandung,ATK,57,2313573,69407,2244166
2026-01-15,Bandung,Makanan,61,2699677,80990,2618687
2026-01-15,Bandung,Kesehatan,63,2903733,87111,2816622
2026-01-15,Surabaya,Elektronik,65,3055520,91665,2963855
2026-01-15,Surabaya,Fashion,62,2743934,82318,2661616
2026-01-15,Surabaya,ATK,58,2354162,70624,2283538
2026-01-15,Surabaya,Makanan,62,2743934,82318,2661616
2026-01-15,Surabaya,Kesehatan,64,2949824,88494,2861330
2026-01-15,Medan,Elektronik,62,2914496,87434,2827062
2026-01-15,Medan,Fashion,59,2611163,78334,2532829
2026-01-15,Medan,ATK,55,2232395,66971,2165424
2026-01-15,Medan,Makanan,59,2611163,78334,2532829
2026-01-15,Medan,Kesehatan,61,2811551,84346,2727205
2026-01-15,Makassar,Elektronik,65,3055520,91665,2963855
2026-01-15,Makassar,Fashion,62,2743934,82318,2661616
2026-01-15,Makassar,ATK,58,2354162,70624,2283538
2026-01-15,Makassar,Makanan,62,2743934,82318,2661616
2026-01-15,Makassar,Kesehatan,64,2949824,88494,2861330
2026-01-16,Jakarta,Elektronik,67,3210975,128439,3082536
2026-01-16,Jakarta,Fashion,64,2891136,115645,2775491
2026-01-16,Jakarta,ATK,60,2490360,99614,2390746
2026-01-16,Jakarta,Makanan,64,2891136,115645,2775491
2026-01-16,Jakarta,Kesehatan,66,3102528,124101,2978427
2026-01-16,Bandung,Elektronik,67,3210975,128439,3082536
2026-01-16,Bandung,Fashion,64,2891136,115645,2775491
2026-01-16,Bandung,ATK,60,2490360,99614,2390746
2026-01-16,Bandung,Makanan,64,2891136,115645,2775491
2026-01-16,Bandung,Kesehatan,66,3102528,124101,2978427
2026-01-16,Surabaya,Elektronik,68,3258900,130356,3128544
2026-01-16,Surabaya,Fashion,65,2936310,117452,2818858
2026-01-16,Surabaya,ATK,61,2531866,101274,2430592
2026-01-16,Surabaya,Makanan,65,2936310,117452,2818858
2026-01-16,Surabaya,Kesehatan,67,3149536,125981,3023555
2026-01-16,Medan,Elektronik,65,3115125,124605,2990520
2026-01-16,Medan,Fashion,62,2800788,112031,2688757
2026-01-16,Medan,ATK,58,2407348,96293,2311055
2026-01-16,Medan,Makanan,62,2800788,112031,2688757
2026-01-16,Medan,Kesehatan,64,3008512,120340,2888172
2026-01-16,Makassar,Elektronik,68,3258900,130356,3128544
2026-01-16,Makassar,Fashion,65,2936310,117452,2818858
2026-01-16,Makassar,ATK,61,2531866,101274,2430592
2026-01-16,Makassar,Makanan,65,2936310,117452,2818858
2026-01-16,Makassar,Kesehatan,67,3149536,125981,3023555
2026-01-17,Jakarta,Elektronik,70,3418940,170947,3247993
2026-01-17,Jakarta,Fashion,67,3088097,154404,2933693
2026-01-17,Jakarta,ATK,63,2672649,133632,2539017
2026-01-17,Jakarta,Makanan,67,3088097,154404,2933693
2026-01-17,Jakarta,Kesehatan,69,3306825,165341,3141484
2026-01-17,Bandung,Elektronik,70,3418940,170947,3247993
2026-01-17,Bandung,Fashion,67,3088097,154404,2933693
2026-01-17,Bandung,ATK,63,2672649,133632,2539017
2026-01-17,Bandung,Makanan,67,3088097,154404,2933693
2026-01-17,Bandung,Kesehatan,69,3306825,165341,3141484
2026-01-17,Surabaya,Elektronik,71,3467782,173389,3294393
2026-01-17,Surabaya,Fashion,68,3134188,156709,2977479
2026-01-17,Surabaya,ATK,64,2715072,135753,2579319
2026-01-17,Surabaya,Makanan,68,3134188,156709,2977479
2026-01-17,Surabaya,Kesehatan,70,3354750,167737,3187013
2026-01-17,Medan,Elektronik,68,3321256,166062,3155194
2026-01-17,Medan,Fashion,65,2995915,149795,2846120
2026-01-17,Medan,ATK,61,2587803,129390,2458413
2026-01-17,Medan,Makanan,65,2995915,149795,2846120
2026-01-17,Medan,Kesehatan,67,3210975,160548,3050427
2026-01-17,Makassar,Elektronik,71,3467782,173389,3294393
2026-01-17,Makassar,Fashion,68,3134188,156709,2977479
2026-01-17,Makassar,ATK,64,2715072,135753,2579319
2026-01-17,Makassar,Makanan,68,3134188,156709,2977479
2026-01-17,Makassar,Kesehatan,70,3354750,167737,3187013
2026-01-18,Jakarta,Elektronik,73,3632407,217944,3414463
2026-01-18,Jakarta,Fashion,70,3290560,197433,3093127
2026-01-18,Jakarta,ATK,66,2860440,171626,2688814
2026-01-18,Jakarta,Makanan,70,3290560,197433,3093127
2026-01-18,Jakarta,Kesehatan,72,3516624,210997,3305627
2026-01-18,Bandung,Elektronik,73,3632407,217944,3414463
2026-01-18,Bandung,Fashion,70,3290560,197433,3093127
2026-01-18,Bandung,ATK,66,2860440,171626,2688814
2026-01-18,Bandung,Makanan,70,3290560,197433,3093127
2026-01-18,Bandung,Kesehatan,72,3516624,210997,3305627
2026-01-18,Surabaya,Elektronik,74,3682166,220929,3461237
2026-01-18,Surabaya,Fashion,71,3337568,200254,3137314
2026-01-18,Surabaya,ATK,67,2903780,174226,2729554
2026-01-18,Surabaya,Makanan,71,3337568,200254,3137314
2026-01-18,Surabaya,Kesehatan,73,3565466,213927,3351539
2026-01-18,Medan,Elektronik,71,3532889,211973,3320916
2026-01-18,Medan,Fashion,68,3196544,191792,3004752
2026-01-18,Medan,ATK,64,2773760,166425,2607335
2026-01-18,Medan,Makanan,68,3196544,191792,3004752
2026-01-18,Medan,Kesehatan,70,3418940,205136,3213804
2026-01-18,Makassar,Elektronik,74,3682166,220929,3461237
2026-01-18,Makassar,Fashion,71,3337568,200254,3137314
2026-01-18,Makassar,ATK,67,2903780,174226,2729554
2026-01-18,Makassar,Makanan,71,3337568,200254,3137314
2026-01-18,Makassar,Kesehatan,73,3565466,213927,3351539
2026-01-19,Jakarta,Elektronik,76,3851376,269596,3581780
2026-01-19,Jakarta,Fashion,73,3498525,244896,3253629
2026-01-19,Jakarta,ATK,69,3053733,213761,2839972
2026-01-19,Jakarta,Makanan,73,3498525,244896,3253629
2026-01-19,Jakarta,Kesehatan,75,3731925,261234,3470691
2026-01-19,Bandung,Elektronik,76,3851376,269596,3581780
2026-01-19,Bandung,Fashion,73,3498525,244896,3253629
2026-01-19,Bandung,ATK,69,3053733,213761,2839972
2026-01-19,Bandung,Makanan,73,3498525,244896,3253629
2026-01-19,Bandung,Kesehatan,75,3731925,261234,3470691
2026-01-19,Surabaya,Elektronik,77,3902052,273143,3628909
2026-01-19,Surabaya,Fashion,74,3546450,248251,3298199
2026-01-19,Surabaya,ATK,70,3097990,216859,2881131
